"","Customer.ID","Customer.Age","Customer.Municipality","Latitude","Longitude","Province","LoginsSite.Last.Month","LoginsSite.Last.6Months","EndSubscription","Total.Call.centre.complaint.calls"
"1","ADF1259",44,"Utrecht","52.0907374"," 5.1214201","Utrecht",6,11,2019-05-08,2
"2","ADF1192",31,"Hoogeveen","52.7286158"," 6.4901002","Drenthe",8,12,2019-04-16,2
"3","ADF1501",35,"Oosterhout","51.6410202"," 4.8616901","Noord-Brabant",6,8,2019-05-24,3
"4","ADF1762",54,"Amsterdam","52.3702157"," 4.8951679","Noord-Holland",5,14,2019-03-27,1
"5","ADF1345",53,"Zundert","51.4707015"," 4.6623558","Noord-Brabant",7,9,2019-03-24,2
"6","ADF1055",79,"Boxtel","51.6014370"," 5.3121773","Noord-Brabant",8,10,2019-06-12,4
"7","ADF1134",33,"De Marne","53.3609340"," 6.3805213","Groningen",5,10,2019-04-08,5
"8","ADF1658",76,"Eemsmond","53.4003443"," 6.6484102","Groningen",7,16,2019-04-24,1
"9","ADF1142",77,"Assen","52.9927530"," 6.5642284","Drenthe",3,13,2019-06-05,2
"10","ADF1228",34,"Oisterwijk","51.5654243"," 5.2030282","Noord-Brabant",5,13,2019-04-30,3
"11","ADF1364",23,"Amsterdam","52.3702157"," 4.8951679","Noord-Holland",6,9,2019-03-24,1
"12","ADF1775",71,"Beverwijk","52.4869842"," 4.6574468","Noord-Holland",6,10,2019-04-01,2
"13","ADF1319",42,"Assen","52.9927530"," 6.5642284","Drenthe",6,13,2019-06-04,2
"14","ADF1252",48,"Helmond","51.4792547"," 5.6570096","Noord-Brabant",7,12,2019-02-11,1
"15","ADF0547",19,"Haarlem","52.3873878"," 4.6462194","Noord-Holland",4,13,2019-07-05,1
"16","ADF0063",18,"Krimpenerwaard","51.9822220"," 4.7816670","Zuid-Holland",6,11,2019-06-18,1
"17","ADF1391",34,"Lelystad","52.5185370"," 5.4714220","Flevoland",5,9,2019-02-18,1
"18","ADF0392",56,"Almere","52.3507849"," 5.2647016","Flevoland",3,8,2019-04-15,1
"19","ADF1702",43,"Maassluis","51.9226067"," 4.2545656","Zuid-Holland",2,12,2019-02-23,1
"20","ADF0047",46,"Rijssen-Holten","52.2925057"," 6.4399990","Overijssel",5,12,2019-01-25,2
"21","ADF1704",36,"Noordoostpolder","52.6926220"," 5.7378425","Flevoland",7,9,2019-04-27,1
"22","ADF1348",18,"Zoeterwoude","52.1208305"," 4.5165697","Zuid-Holland",5,12,2019-05-08,1
"23","ADF1063",75,"Maastricht","50.8513682"," 5.6909725","Limburg",3,14,2019-04-10,3
"24","ADF1997",32,"Westland","51.9991757"," 4.2174570","Zuid-Holland",7,10,2019-04-01,1
"25","ADF0406",49,"Gooise Meren","52.3047615"," 5.1396990","Noord-Holland",4,12,2019-03-22,1
"26","ADF1629",67,"Rotterdam","51.9244201"," 4.4777326","Zuid-Holland",10,10,2019-03-27,1
"27","ADF1593",50,"Baarn","52.2131825"," 5.2864096","Utrecht",3,13,2019-03-06,2
"28","ADF0113",57,"Leiderdorp","52.1509854"," 4.5281733","Zuid-Holland",7,14,2019-04-03,3
"29","ADF1502",21,"Lansingerland","51.9987144"," 4.5162627","Zuid-Holland",3,14,2018-12-14,2
"30","ADF0363",45,"Amsterdam","52.3702157"," 4.8951679","Noord-Holland",7,8,2019-03-20,1
"31","ADF1249",26,"Tilburg","51.5605960"," 5.0919143","Noord-Brabant",9,13,2019-04-07,7
"32","ADF1398",48,"Haarlem","52.3873878"," 4.6462194","Noord-Holland",5,13,2019-03-14,6
"33","ADF0291",78,"Etten-Leur","51.5868855"," 4.6671384","Noord-Brabant",6,15,2019-02-22,2
"34","ADF1417",74,"Almelo","52.3670267"," 6.6684919","Overijssel",5,14,2019-01-05,1
"35","ADF1392",35,"Amersfoort","52.1561113"," 5.3878266","Utrecht",7,11,2019-05-12,1
"36","ADF1278",23,"Zwolle","52.5167747"," 6.0830219","Overijssel",6,11,2019-01-21,1
"37","ADF1526",76,"Boxmeer","51.6452689"," 5.9566657","Noord-Brabant",7,15,2019-03-29,1
"38","ADF1575",63,"Weesp","52.3080507"," 5.0406217","Noord-Holland",4,14,2019-04-09,3
"39","ADF1036",38,"Dronten","52.5346819"," 5.7218086","Flevoland",6,11,2018-12-11,1
"40","ADF1177",36,"Wassenaar","52.1429096"," 4.4012129","Zuid-Holland",6,8,2019-02-26,1
"41","ADF1061",44,"Gennep","51.6978545"," 5.9726751","Limburg",7,12,2018-11-17,1
"42","ADF0414",18,"Oss","51.7611801"," 5.5140482","Noord-Brabant",6,11,2019-06-08,1
"43","ADF1128",2,"Amersfoort","52.1561113"," 5.3878266","Utrecht",5,13,2019-03-15,1
"44","ADF0623",60,"Utrecht","52.0907374"," 5.1214201","Utrecht",5,10,2019-04-17,1
"45","ADF0125",77,"Velsen","52.4520591"," 4.6305871","Noord-Holland",6,11,2019-09-01,1
