,Customer.ID,Years.customer,Months.customer,Minutes.in.2018,Minutes.onnet,Minutes.offnet,Number.of.SMS,KBs.used,Total.Unique.Calls,Previous.provider,Churn.Status
1,ADF1259,3805,126.83,4091.616,1436.324929,2655.291071,81,3624.375,117,KPN,0
2,ADF1192,2905,96.83,3179.28,1949.967368,1229.312632,101,551842.8331,106,Telfort,0
3,ADF1501,3819,127.3,7233.1824,949.0150844,6284.167316,79,2128472.938,94,TELE2,0
4,ADF1762,3643,121.43,7336.176,1765.167079,5571.008921,121,21807.3848,450,Ben,1
5,ADF1345,3809,126.97,5390.94,3519.060527,1871.879473,16,464885.6963,308,TELE2,0
6,ADF1055,2260,75.33,901.32,159.9566916,741.3633084,0,1.0791,162,KPN,0
7,ADF1134,4153,138.43,2543.58,1286.158865,1257.421135,8,157.5615,75,KPN,0
8,ADF1658,165,5.5,1220.2872,223.0037924,997.2834076,7,396747.0527,27,KPN,1
9,ADF1142,1268,42.27,2637.768,1813.472883,824.295117,5,28953422.55,43,TELE2,0
10,ADF1228,717,23.9,3665.82,1342.27152,2323.54848,0,4303770.345,54,Telfort,0
11,ADF1364,1822,60.73,5520.96,1305.854298,4215.105702,0,53584.456,278,Vodafone,0
12,ADF1775,1774,59.13,7822.68,3845.048706,3977.631294,39,8.1387,322,KPN,1
13,ADF1319,325,10.83,5198.1,3121.477327,2076.622673,4,277.9688,289,Vodafone,0
14,ADF1252,585,19.5,4049.904,1405.831958,2644.072042,26,11937595.66,130,0,0
15,ADF0547,1745,58.17,6183.91932,2227.08734,3956.83198,69,2891582.573,16,KPN,1
16,ADF0063,727,24.23,4395.3528,3350.720082,1044.632718,8,252.875,138,Vodafone,0
17,ADF1391,152,5.07,5810.7,4460.026085,1350.673915,0,1260824.879,369,KPN,0
18,ADF0392,168,5.6,277.68,180.0571847,97.62281531,19,29.4697,2,TELE2,1
19,ADF1702,808,26.93,5048.136,2776.283447,2271.852553,26,59040.6368,131,Ben,1
20,ADF0047,4082,136.07,1573.68,1097.242445,476.4375547,0,8.6738,79,T-Mobile,0
21,ADF1704,3380,112.67,5202.66,3272.953054,1929.706946,134,1322829.836,170,T-Mobile,1
22,ADF1348,1417,47.23,5419.62,1087.819752,4331.800248,0,2166780.011,660,Telfort,0
23,ADF1063,118,3.93,1051.74,732.579531,319.160469,102,114262.0723,18,Vodafone,0
24,ADF1997,345,11.5,9955.6872,3461.459623,6494.227577,10,46951698.56,150,KPN,1
25,ADF0406,1201,40.03,334.1688,47.64124028,286.5275597,24,6.9453,3,TELE2,1
26,ADF1629,99,3.3,851.46,274.9057333,576.5542667,0,17733.4561,23,KPN,1
27,ADF1593,105,3.5,479.016,173.2219205,305.7940795,12,2005.1065,9,Vodafone,1
28,ADF0113,113,3.77,4643.58,1002.389157,3641.190843,14,1229.5186,19,TELE2,1
29,ADF1502,981,32.7,7251.6024,3806.621774,3444.980626,2,31.3535,883,KPN,0
30,ADF0363,239,7.97,158.712,82.72850938,75.98349062,14,0.6953,5,KPN,1
31,ADF1249,1341,44.7,4013.2488,2779.60513,1233.64367,36,213.0723,262,0,0
32,ADF1398,137,4.57,5867.1792,4299.943959,1567.235241,29,214114.5029,127,NA,0
33,ADF0291,224,7.47,1872.4008,264.77943,1607.62137,9,1434072.182,16,TELE2,0
34,ADF1417,3515,117.17,6130.08,1992.966091,4137.113909,1,44264.4648,753,TELE2,0
35,ADF1392,741,24.7,5818.2504,1596.599466,4221.650934,101,38622.8975,152,Ben,0
36,ADF1278,170,5.67,4422.6312,930.0913307,3492.539869,40,1205828.366,168,T-Mobile,0
37,ADF1526,830,27.67,7618.9824,3971.069908,3647.912492,0,53822264.18,49,KPN,0
38,ADF1575,2285,76.17,355.2144,117.4529751,237.7614249,0,519.3096,33,TELE2,1
39,ADF1036,1105,36.83,323.28,195.1583104,128.1216896,0,615282.6914,23,KPN,0
40,ADF1177,1355,45.17,3046.656,967.2701258,2079.385874,4,709844.5869,52,KPN,0
41,ADF1061,936,31.2,1025.94,740.8042132,285.1357868,12,9810.959,43,T-Mobile,0
42,ADF0414,906,30.2,347.4,232.0410327,115.3589673,7,69978.7031,2,Vodafone,1
