Months.customer,Minutes.in.2018,Number.of.SMS,KBs.used,Total.Unique.Calls,Churn.Status,Customer.Age,LoginsSite.Last.6Months,EndSubscription,Total.Call.centre.complaint.calls,MonthlySubscriptionPrice,Province_Flevoland,Province_Friesland,Province_Gelderland,Province_Groningen,Province_Limburg,Province_Noord-Brabant,Province_Noord-Holland,Province_Overijssel,Province_Utrecht,Province_Zeeland,Province_Zuid-Holland
126.83,4091.616,81,3624.375,117,0,44,11,5,2,45.640142469405696,0,0,0,0,0,0,0,0,1,0,0
96.83,3179.28,101,551842.8331,106,0,31,12,4,2,21.8714466198371,0,0,0,0,0,0,0,0,0,0,0
127.3,7233.1824,79,2128472.938,94,0,35,8,5,3,28.005670433962496,0,0,0,0,0,1,0,0,0,0,0
121.43,7336.1759999999995,121,21807.3848,450,1,54,14,3,1,26.1221887596171,0,0,0,0,0,0,1,0,0,0,0
126.97,5390.94,16,464885.6963,308,0,53,9,3,2,41.25099890201,0,0,0,0,0,1,0,0,0,0,0
75.33,901.32,0,1.0791,162,0,79,10,6,4,14.8940031579834,0,0,0,0,0,1,0,0,0,0,0
138.43,2543.58,8,157.5615,75,0,33,10,4,5,63.956850668585396,0,0,0,1,0,0,0,0,0,0,0
5.5,1220.2872,7,396747.0527,27,1,76,16,4,1,18.3366152698195,0,0,0,1,0,0,0,0,0,0,0
42.27,2637.768,5,28953422.55,43,0,77,13,6,2,34.5214019693649,0,0,0,0,0,0,0,0,0,0,0
23.9,3665.82,0,4303770.345,54,0,34,13,4,3,21.3173272765243,0,0,0,0,0,1,0,0,0,0,0
60.73,5520.96,0,53584.456,278,0,23,9,3,1,54.5020144162736,0,0,0,0,0,0,1,0,0,0,0
59.13,7822.68,39,8.1387,322,1,71,10,4,2,-6.0946682266332495,0,0,0,0,0,0,1,0,0,0,0
10.83,5198.1,4,277.9688,289,0,42,13,6,2,25.033259899748,0,0,0,0,0,0,0,0,0,0,0
19.5,4049.9040000000005,26,11937595.66,130,0,48,12,2,1,30.478208413986202,0,0,0,0,0,1,0,0,0,0,0
58.17,6183.91932,69,2891582.5730000003,16,1,19,13,7,1,39.9855455247849,0,0,0,0,0,0,1,0,0,0,0
24.23,4395.3528,8,252.875,138,0,18,11,6,1,45.1722944198771,0,0,0,0,0,0,0,0,0,0,1
5.07,5810.7,0,1260824.879,369,0,34,9,2,1,6.30775771351035,1,0,0,0,0,0,0,0,0,0,0
5.6,277.68,19,29.4697,2,1,56,8,4,1,29.5567105315069,1,0,0,0,0,0,0,0,0,0,0
26.93,5048.1359999999995,26,59040.6368,131,1,43,12,2,1,-1.1946185076441298,0,0,0,0,0,0,0,0,0,0,1
136.07,1573.68,0,8.6738,79,0,46,12,1,2,36.9759226158499,0,0,0,0,0,0,0,1,0,0,0
112.67,5202.66,134,1322829.836,170,1,36,9,4,1,-23.9341995265135,1,0,0,0,0,0,0,0,0,0,0
47.23,5419.62,0,2166780.011,660,0,18,12,5,1,32.3806551826127,0,0,0,0,0,0,0,0,0,0,1
3.93,1051.74,102,114262.0723,18,0,75,14,4,3,41.8238873268908,0,0,0,0,1,0,0,0,0,0,0
11.5,9955.6872,10,46951698.56,150,1,32,10,4,1,5.6750487059902595,0,0,0,0,0,0,0,0,0,0,1
40.03,334.1688,24,6.9453,3,1,49,12,3,1,-3.3972180138427697,0,0,0,0,0,0,1,0,0,0,0
3.3,851.46,0,17733.4561,23,1,67,10,3,1,28.928614818756397,0,0,0,0,0,0,0,0,0,0,1
3.5,479.01599999999996,12,2005.1065,9,1,50,13,3,2,33.0004503907341,0,0,0,0,0,0,0,0,1,0,0
3.77,4643.58,14,1229.5186,19,1,57,14,4,3,10.9686474788796,0,0,0,0,0,0,0,0,0,0,1
32.7,7251.6024,2,31.3535,883,0,21,14,12,2,22.8979081429543,0,0,0,0,0,0,0,0,0,0,1
7.97,158.71200000000002,14,0.6953,5,1,45,8,3,1,17.802106424564897,0,0,0,0,0,0,1,0,0,0,0
44.7,4013.2488,36,213.0723,262,0,26,13,4,7,34.4508964778804,0,0,0,0,0,1,0,0,0,0,0
4.57,5867.1792,29,214114.5029,127,0,48,13,3,6,11.4658000411072,0,0,0,0,0,0,1,0,0,0,0
7.47,1872.4008,9,1434072.1819999998,16,0,78,15,2,2,58.5716155723835,0,0,0,0,0,1,0,0,0,0,0
117.17,6130.08,1,44264.4648,753,0,74,14,1,1,42.126133295614096,0,0,0,0,0,0,0,1,0,0,0
24.7,5818.2504,101,38622.8975,152,0,35,11,5,1,40.1628135700669,0,0,0,0,0,0,0,0,1,0,0
5.67,4422.6312,40,1205828.366,168,0,23,11,1,1,5.76032303541811,0,0,0,0,0,0,0,1,0,0,0
27.67,7618.9824,0,53822264.18,49,0,76,15,3,1,28.6534143167973,0,0,0,0,0,1,0,0,0,0,0
76.17,355.2144,0,519.3096,33,1,63,14,4,3,0.7578251465655409,0,0,0,0,0,0,1,0,0,0,0
36.83,323.28,0,615282.6914,23,0,38,11,12,1,16.791260149484803,1,0,0,0,0,0,0,0,0,0,0
45.17,3046.656,4,709844.5869,52,0,36,8,2,1,38.9119593828602,0,0,0,0,0,0,0,0,0,0,1
31.2,1025.94,12,9810.959,43,0,44,12,11,1,39.242815216965,0,0,0,0,1,0,0,0,0,0,0
30.2,347.4,7,69978.7031,2,1,18,11,6,1,37.11370069446279,0,0,0,0,0,1,0,0,0,0,0
129.0,2479.8,0,28141.0098,100,0,2,13,3,1,6.4176426981866594,0,0,0,0,0,0,0,0,1,0,0
10.1,1270.8288,30,0.9883,23,1,60,10,4,1,-1.16779416732092,0,0,0,0,0,0,0,0,1,0,0
15.77,7377.7944,37,5429409.755,537,1,77,11,9,1,20.689053183947898,0,0,0,0,0,0,1,0,0,0,0
15.7,7448.4072,7,7209087.081,530,1,67,9,6,3,14.352081789275,0,0,0,0,0,0,0,0,0,0,1
18.13,304.89599999999996,10,56206.7686,13,1,50,11,3,1,49.360849216530504,0,0,0,0,0,0,0,0,0,0,1
21.17,248.88,16,9.8418,3,1,22,12,3,1,43.657684428372406,0,1,0,0,0,0,0,0,0,0,0
6.87,5414.328,64,710991.4942,55,1,60,11,9,2,10.3460030329249,0,0,0,0,0,0,0,0,0,0,1
113.3,3701.712,19,4647.8037,58,0,40,8,4,3,44.3284222152251,0,0,0,0,0,1,0,0,0,0,0
23.53,6848.448,65,457845.25,105,0,73,11,5,1,15.4524502479191,0,0,0,0,0,1,0,0,0,0,0
45.0,198.68400000000003,10,656.3877,2,1,29,11,4,1,34.604282375155805,0,0,0,0,0,0,1,0,0,0,0
4.7,4862.28,50,210613.8564,78,0,35,11,8,1,0.519558388793026,0,0,0,0,0,1,0,0,0,0,0
4.17,8767.68,199,341.1387,218,1,60,15,3,4,33.1881243604985,0,0,1,0,0,0,0,0,0,0,0
111.37,5514.396,6,200704.8692,502,0,88,15,4,3,35.6834088199937,0,0,0,0,0,1,0,0,0,0,0
42.1,248.52,25,1134.0234,1,1,45,12,4,1,21.1308852276645,0,0,1,0,0,0,0,0,0,0,0
28.5,258.92400000000004,14,4.9688,5,1,24,12,1,1,38.600998630202106,0,0,0,0,0,1,0,0,0,0,0
162.1,8400.9624,183,311973.1495,95,1,49,9,6,1,15.7486661386304,0,0,0,0,0,0,0,0,0,0,1
3.8,3297.06,7,13.1279,195,0,18,10,3,2,26.609633363933398,0,0,0,0,0,0,0,0,0,0,0
74.57,5348.472,20,455796.5185,447,1,98,13,4,1,9.29005892164166,0,0,1,0,0,0,0,0,0,0,0
88.93,32967.792,35,9890750.658,114,1,53,13,11,1,-4.10788526836505,0,0,0,0,0,0,0,0,0,0,0
