Months.customer,Minutes.in.2018,Number.of.SMS,KBs.used,Total.Unique.Calls,Churn.Status,Customer.Age,LoginsSite.Last.Month,EndSubscription,Total.Call.centre.complaint.calls,MonthlySubscriptionPrice,PaidAfterPaymentDate,PricePhone,Province_Flevoland,Province_Friesland,Province_Gelderland,Province_Groningen,Province_Limburg,Province_Noord-Brabant,Province_Noord-Holland,Province_Overijssel,Province_Utrecht,Province_Zeeland,Province_Zuid-Holland,Previous.provider_Ben,Previous.provider_KPN,Previous.provider_T-Mobile,Previous.provider_TELE2,Previous.provider_Telfort,Previous.provider_Vodafone
126.83,4091.616,81,3624.375,117,0,44,6,5,2,45.640142469405696,0.0,101.878897609039,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
96.83,3179.28,101,551842.8331,106,0,31,8,4,2,21.8714466198371,2.0,428.266454982175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127.3,7233.1824,79,2128472.938,94,0,35,6,5,3,28.005670433962496,3.0,532.5070864095981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
121.43,7336.1759999999995,121,21807.3848,450,1,54,5,3,1,26.1221887596171,3.0,116.467428470616,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
126.97,5390.94,16,464885.6963,308,0,53,7,3,2,41.25099890201,5.0,267.980609909114,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
75.33,901.32,0,1.0791,162,0,79,8,6,4,14.8940031579834,2.0,286.775581936428,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
138.43,2543.58,8,157.5615,75,0,33,5,4,5,63.956850668585396,4.0,492.70737122876506,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5.5,1220.2872,7,396747.0527,27,1,76,7,4,1,18.3366152698195,3.0,305.727017813923,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
42.27,2637.768,5,28953422.55,43,0,77,3,6,2,34.5214019693649,1.0,269.717220238088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23.9,3665.82,0,4303770.345,54,0,34,5,4,3,21.3173272765243,0.0,92.2781056388002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
60.73,5520.96,0,53584.456,278,0,23,6,3,1,54.5020144162736,4.0,228.103567116627,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
59.13,7822.68,39,8.1387,322,1,71,6,4,2,-6.0946682266332495,2.0,219.21134171503996,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
10.83,5198.1,4,277.9688,289,0,42,6,6,2,25.033259899748,0.0,421.826919085767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19.5,4049.9040000000005,26,11937595.66,130,0,48,7,2,1,30.478208413986202,1.0,143.447321057554,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
